waste_type,household_source,chemical_category,toxicity_level,flammability,corrosiveness,reactivity,quantity_range,recommended_treatment,,,SURE ,,,,,,,,,,,
Battery,Home Electronics,Heavy Metals,High,0,1,0,Small,Authorized Recycling,,,Composite,,,,,,,,,,,
Lead-acid Battery,Automobile,Heavy Metals,High,0,1,0,Large,Authorized Recycling,,,,,,,,,,,,,,
Paint,Home Renovation,Organic Solvents,Medium,1,0,0,Medium,Chemical Neutralization,,,,,,,,,,,,,,
Oil-based Paint,Home Renovation,Organic Solvents,High,1,0,0,Medium,Hazardous Disposal,,,,,,,,,,,,,,
Pesticide,Garden,Agrochemicals,High,0,0,1,Small,Hazardous Disposal,,,,,,,,,,,,,,
Herbicide,Garden,Agrochemicals,High,0,0,1,Small,Hazardous Disposal,,,,,,,,,,,,,,
Cleaning Agent,Household Cleaning,Corrosive Chemicals,Medium,0,1,0,Small,Controlled Disposal,,,,,,,,,,,,,,
Drain Cleaner,Bathroom,Corrosive Chemicals,High,0,1,1,Small,Hazardous Disposal,,,,,,,,,,,,,,
E-Waste,Home Electronics,Mixed Materials,High,0,0,0,Large,Authorized Recycling,,,,,,,,,,,,,,
Mobile Phone,Home Electronics,Mixed Materials,High,0,0,0,Small,Authorized Recycling,,,,,,,,,,,,,,
Laptop,Home Electronics,Mixed Materials,High,0,0,0,Medium,Authorized Recycling,,,,,,,,,,,,,,
Fluorescent Lamp,Lighting,Mercury Compounds,High,0,0,1,Small,Secure Recycling,,,,,,,,,,,,,,
Thermometer,Medical,Mercury Compounds,High,0,0,1,Small,Secure Recycling,,,,,,,,,,,,,,
Aerosol Can,Household Cleaning,Pressurized Chemicals,Medium,1,0,1,Small,Controlled Disposal,,,,,,,,,,,,,,
Gas Cylinder,Kitchen,Pressurized Chemicals,High,1,0,1,Large,Authorized Disposal,,,,,,,,,,,,,,
Printer Cartridge,Office Equipment,Chemical Inks,Medium,0,0,0,Small,Authorized Recycling,,,,,,,,,,,,,,
Ink Toner,Office Equipment,Chemical Inks,Medium,0,0,0,Small,Authorized Recycling,,,,,,,,,,,,,,
Medicine,Healthcare,Pharmaceuticals,Medium,0,0,0,Small,Controlled Disposal,,,,,,,,,,,,,,
Expired Drugs,Healthcare,Pharmaceuticals,High,0,0,0,Small,Hazardous Disposal,,,,,,,,,,,,,,
Nail Polish Remover,Personal Care,Organic Solvents,Medium,1,0,0,Small,Controlled Disposal,,,,,,,,,,,,,,
Adhesives,Home Repair,Organic Solvents,Medium,1,0,0,Small,Controlled Disposal,,,,,,,,,,,,,,
Rust Remover,Home Repair,Corrosive Chemicals,High,0,1,0,Small,Hazardous Disposal,,,,,,,,,,,,,,
Motor Oil,Garage,Petroleum Products,High,1,0,0,Medium,Authorized Recycling,,,,,,,,,,,,,,
Brake Fluid,Garage,Petroleum Products,High,1,0,0,Small,Hazardous Disposal,,,,,,,,,,,,,,
Antifreeze,Garage,Glycols,High,0,0,1,Medium,Authorized Recycling,,,,,,,,,,,,,,
Smoke Detector,Safety Equipment,Radioactive Materials,High,0,0,1,Small,Authorized Disposal,,,,,,,,,,,,,,
Fire Extinguisher,Safety Equipment,Pressurized Chemicals,High,0,0,1,Medium,Authorized Disposal,,,,,,,,,,,,,,
Bleach,Household Cleaning,Corrosive Chemicals,Medium,0,1,0,Small,Controlled Disposal,,,,,,,,,,,,,,
Pool Chemicals,Recreation,Oxidizing Agents,High,0,1,1,Medium,Hazardous Disposal,,,,,,,,,,,,,,
Wood Preservatives,Garden,Toxic Chemicals,High,0,0,1,Small,Hazardous Disposal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Feature Name,Definition,Status,Why it is Necessary?,
,,,,,,,,,,,,,,,,,,waste_type,"The specific name of the item (e.g., ""Lithium-ion Battery"", ""Latex Paint"", ""Bleach"").",KEEP,Core Input. This is the primary identifier. The model relies on this to look up chemical properties.,
,,,,,,,,,,,,,,,,,,household_source,"Where the waste was generated (e.g., ""Kitchen"", ""Garage"", ""Garden"", ""Bathroom"").",KEEP,"Context. Helps the model infer ambiguity (e.g., an unknown bottle in the ""Garage"" is likely automotive or pesticide; in the ""Bathroom"" it is likely a cleaner).",
,,,,,,,,,,,,,,,,,,chemical_category,"The broad chemical family (e.g., ""Heavy Metals"", ""Organic Solvents"", ""Acids"", ""Bases"").",KEEP,Generalization. Helps the ML model group similar items together even if it hasn't seen the specific waste_type before.,
,,,,,,,,,,,,,,,,,,toxicity_level,"Categorical rating of health danger: Low, Medium, High, Severe.",KEEP,Safety. Directly correlates to the urgency of disposal and the type of protective gear needed.,
,,,,,,,,,,,,,,,,,,flammability,Binary (0/1) or Categorical (Low/High). Does it catch fire easily?,KEEP,Safety. Determines if the item needs to be stored away from heat/sparks and if incineration is a viable option (often it's not).,
,,,,,,,,,,,,,,,,,,corrosiveness,Binary (0/1). Does it burn skin or eat through metal (pH < 2 or > 12.5)?,KEEP,Treatment Logic. Corrosive items usually require Neutralization before disposal.,
,,,,,,,,,,,,,,,,,,reactivity,Binary (0/1). Does it explode or release gas when mixed with water/air?,KEEP,"Safety. High reactivity prevents certain treatments (like mixing with other wastes) and dictates ""Segregated Storage.""",
,,,,,,,,,,,,,,,,,,quantity_range,"The volume/amount: Small (<1kg/L), Medium, Large (>5kg/L).",KEEP,Logistics. A single battery can be dropped at a kiosk; a barrel of oil requires a pickup service.,
,,,,,,,,,,,,,,,,,,container_condition,"The state of the packaging: Intact, Leaking, Damaged, Corroded.",ADD,"Real-world Logic. If a container is ""Leaking,"" the immediate advice must change to ""Contain Spill"" before ""Recycle."" This adds depth to your ""Intelligent"" system.",
,,,,,,,,,,,,,,,,,,recyclability_score,A normalized score (0.0 to 1.0) indicating how technically feasible it is to recover materials.,KEEP,"Objective Function. High scores push the model to recommend ""Recycling"" or ""Recovery"" over ""Landfill.""",
,,,,,,,,,,,,,,,,,,environmental_risk_score,"A composite score (0-100) combining persistence, bio-accumulation, and toxicity.",KEEP,Prioritization. Helps the system prioritize high-risk items for immediate treatment.,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
